item_id,item_name,img_path,description,price,available_quantity,list_timestamp,category_name,seller_name
1,Refillable Unscented Vegan Shampoo + Conditioner 16oz,public/imgs/uploads/unscented-shampoo-cond.png,"Experience clean and nourished hair with our Refillable Unscented Vegan Shampoo and Conditioner. Made with eco-friendly, plant-based ingredients, this duo offers a gentle, fragrance-free cleanse and conditioning for all hair types, ensuring both your hair and the planet stay healthy and happy.",60,50,5/28/24 5:52,Home,hungyun
2,Fluoride Free Peppermint Toothpaste,public/imgs/uploads/davids_peppermint.png,"Refresh your smile with our Fluoride-Free Peppermint Toothpaste. Formulated with natural ingredients, this toothpaste provides a minty fresh clean without fluoride, promoting healthy teeth and gums in a safe and gentle way.",10.5,100,5/28/24 6:00,Home,hungyun
3,Bamboo Toothbrush - Adult,public/imgs/uploads/bamboo-toothbrush.png,"Upgrade your oral care routine with our Bamboo Toothbrush for Adults. Featuring a biodegradable handle and soft, BPA-free bristles, this eco-friendly toothbrush offers effective cleaning while reducing your environmental footprint.",4.89,35,5/28/24 6:30,Home ,hungyun
4,Plastic-Free Toilet Brush,public/imgs/uploads/toilet-brush.png,"Keep your bathroom spotless with our Plastic-Free Toilet Brush. Crafted with sustainable materials, this durable brush provides effective cleaning without harming the environment, offering a green solution for maintaining a pristine toilet.",35.99,60,5/28/24 6:45,Home,hungyun
5,More Planet Less Plastic Organic Tote Bag,public/imgs/uploads/tote-bag.png,"Carry your essentials in style with our More Planet Less Plastic Organic Tote Bag. Made from 100% organic cotton, this eco-friendly tote promotes sustainability while offering a spacious, durable, and reusable alternative to plastic bags. Perfect for shopping, errands, and everyday use.",14.99,130,5/28/24 6:47,Art,hungyun
6,Moroccan Shopping Basket,public/imgs/uploads/shopping-basket.png,"Embrace traditional craftsmanship with our Moroccan Shopping Basket. Handwoven from natural palm leaves, this stylish and sturdy basket is perfect for shopping, beach trips, or picnics, offering a sustainable and chic alternative to plastic bags.",48.75,30,5/28/24 6:59,Art,hungyun
7,Happy Hollow,public/imgs/uploads/1716968274874-happy-hollow.png,this is an art that is made with recycle materials.,5,10,5/28/24 7:00,Art,yuanchaoye
8,Loofah Sponge,public/imgs/uploads/1716968401940-loofah-sponge.png,"The perfect alternative to plastic dish sponges and plastic bath loofahs. Use our zero waste, sustainably sourced loofah sponge (made from a plant!) to wash dishes, naturally exfoliate your skin, clean sinks, tubs, and so much more! Once wet, they naturally expand making the perfect sponge and scrubber! Loofah sponges are soft enough where they will not scratch your pots, pans, or dishes, but have enough scrubbing power to get all the grime and grease off! Inludes: Single or in a pack of 6. There may be some black seeds/residue left inside of the loofah. They will fall out naturally over time.",1.5,2,5/28/24 7:00,Home,yuanchaoye
9,Reusable Paper Towels,public/imgs/uploads/1716968590181-reusable-paper-towels.png,"Once dirty, simply wash with your normal laundry and reuse for years. Plus, the cotton material naturally clings together, making it super easy to re-roll onto the cardboard paper towel tube.",5.15,5,5/28/24 7:00,Home,yuanchaoye
11,Organic Cotton Mesh String Bag,public/imgs/uploads/cotton-mesh-bag.png,"Choose eco-friendly convenience with our Organic Cotton Mesh String Bag. Perfect for groceries, beach trips, or daily errands, this durable and expandable bag offers a stylish and sustainable alternative to single-use plastics.",15,25,5/28/24 7:32,Art,hungyun
12,White Eco Dryer Balls,public/imgs/uploads/white-eco-dryer-balls.png,"Enhance your laundry routine with our White Eco Dryer Balls. Made from 100% natural wool, these eco-friendly dryer balls reduce drying time, soften fabrics, and eliminate the need for chemical-laden dryer sheets, promoting a greener and more efficient way to dry your clothes.",30,150,5/28/24 7:45,Home,hungyun
13,Refillable Glass Cleaning Spray Bottle,public/imgs/uploads/spray-bottle.png,"Simplify your cleaning routine with our Refillable Glass Cleaning Spray Bottle. Designed for eco-conscious households, this stylish and durable bottle can be used with your favorite cleaning solutions, reducing plastic waste and promoting a sustainable approach to keeping your home sparkling clean.",9.99,200,5/28/24 7:47,Garden,hungyun
14,Kids Socks that Save Dogs,public/imgs/uploads/kids-socks.png,"Dress your little ones in our Kids Socks that Save Dogs. These adorable, comfortable socks are crafted with soft, breathable materials and feature fun designs. Each purchase helps support animal rescue efforts, combining style with a heartfelt cause.",24.99,60,5/28/24 16:04,Home,hungyun
15,Compostable Dog Poop Bags 60pk,public/imgs/uploads/poop-bags.png,"Choose sustainability with our Compostable Dog Poop Bags, 60-pack. Made from eco-friendly materials, these strong and leak-proof bags make cleaning up after your pet easy while helping to reduce plastic waste and protect the environment.",8.99,120,5/28/24 17:48,Pet,hungyun
16,Bath Beeswax Crayons,public/imgs/uploads/bath-beeswax-crayon.png,"Make bath time fun and creative with our Bath Beeswax Crayons. These non-toxic, water-soluble crayons are made from natural beeswax, allowing your child to draw on tub surfaces and easily wash away, combining creativity with safe, eco-friendly play.",23.95,65,5/28/24 18:23,Kids,hungyun
17,eco-dough (3 pk),public/imgs/uploads/eco-dough.png,"Inspire imaginative play with our Eco-Dough (3 pk). Made from natural, non-toxic ingredients, this set of three vibrant doughs provides a safe and eco-friendly way for kids to create and explore, ensuring fun without compromising on safety or sustainability.",16.99,300,5/28/24 18:46,Kids,hungyun
18,White Orthodontic Natural Rubber Pacifier,public/imgs/uploads/rubber-pacifier.png,"Comfort your baby with our White Orthodontic Natural Rubber Pacifier. Crafted from 100% natural rubber, this eco-friendly pacifier features an orthodontic design to support healthy dental development while providing a safe, soothing experience for your little one.",9.99,80,5/28/24 18:52,Kids,hungyun
19,"Matcha Serum for Face & Hair - Vegan, Organic, Sensitive Skin",public/imgs/uploads/matcha-serum.png,"Revitalize your skin and hair with our Matcha Serum. Formulated with vegan, organic ingredients, this gentle serum is perfect for sensitive skin, delivering the antioxidant power of matcha to nourish and rejuvenate, leaving you with a radiant glow and healthier hair.",26.15,45,5/28/24 18:58,Beauty,hungyun
20,Mini Bamboo Hair Brush,public/imgs/uploads/bamboo-brush.png,"Keep your hair smooth and tangle-free with our Mini Bamboo Hair Brush. Perfect for on-the-go styling, this eco-friendly brush features a compact design and natural bamboo bristles, promoting healthy hair and reducing environmental impact.",10.99,75,5/28/24 20:32,Beauty,hungyun
21,Peppermint Vegan Lip Balm,public/imgs/uploads/lip-balm.png,"Keep your lips moisturized with our Peppermint Vegan Lip Balm. This 0.45 oz. natural lip balm is organic, plastic-free, and zero waste, offering a refreshing peppermint flavor while caring for your lips and the environment.",22,95,5/28/24 20:42,Beauty,hungyun
22,Bamboo Wireless Mouse,public/imgs/uploads/wireless-bamboo-mouse.png,"Upgrade your workspace with our Bamboo Wireless Mouse. Combining modern technology with eco-friendly design, this stylish mouse features a natural bamboo exterior, providing comfortable use while promoting sustainability in your tech accessories.",34.99,60,5/28/24 21:23,Tech,hungyun
23,Wooden Apple Watch Charging Dock,public/imgs/uploads/wooden-apple-watch-charging-dock.png,"Organize and charge your device elegantly with our Wooden Apple Watch Charging Dock. Crafted from high-quality wood, this stylish and eco-friendly dock offers a secure and convenient place to charge your Apple Watch, blending seamlessly with any decor.",44.99,55,5/28/24 21:57,Tech,hungyun
24,Champ 10K Portable Charger,public/imgs/uploads/protable-charger.png,"Stay powered on the go with the Champ 10K Portable Charger by Nimble. This sleek and compact charger offers a 10,000 mAh capacity, providing fast and reliable charging for your devices. With its eco-friendly design made from recycled materials, the Champ 10K ensures you stay connected sustainably.",59.95,80,5/28/24 22:23,Tech,hungyun
25,Stainless Steel Straw & Brush,public/imgs/uploads/stainless-steel-straw-brush-set.png,"Opt for an eco-friendly alternative with our Stainless Steel Straw & Brush set. Durable and reusable, this set includes a stainless steel straw and a cleaning brush, perfect for reducing plastic waste while enjoying your favorite beverages.",2.15,160,5/28/24 23:34,Home,hungyun
26,Veneerware Compostable Bamboo Utensils,public/imgs/uploads/bamboo-compostable-utensils.png,"Choose sustainability with Veneerware Compostable Bamboo Utensils. These sturdy, single-use utensils are made from renewable bamboo, offering an eco-friendly alternative to plastic cutlery. Perfect for picnics, parties, and everyday use, they are fully compostable, ensuring a greener choice for your dining needs.",10.99,250,5/28/24 23:54,Home,hungyun